spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_noise_0.5,acc_drop_0.2,acc_flip_0.05,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,nmi,ari,auroc
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9959999918937683,0.260096937417984,0.9832167550986861,0.362,0.9866666793823242,0.9833333492279053,0.9959999918937683,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.26027554273605347,0.9829952981378282,0.016,0.9839999675750732,0.9826666712760925,0.9940000176429749,512.0,1.0,389120,0,0,1.0,64.0,,,,,,,
uniform,linear,uniform,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9946666359901428,0.25939661264419556,0.9839792461477775,0.014,0.9833333492279053,0.981333315372467,0.9959999918937683,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
laplace,linear,laplace,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9953333139419556,0.2600916028022766,0.9827342396888888,0.016,0.9860000014305115,0.9833333492279053,0.9946666359901428,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
student_t,linear,student_t,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9953333139419556,0.25920096039772034,0.9827091931356613,0.019,0.9860000014305115,0.9833333492279053,0.9946666359901428,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
cauchy,linear,cauchy,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9925000071525574,0.9926666617393494,0.25247007608413696,0.9297032437431655,0.018,0.9806666374206543,0.9786666631698608,0.9933333396911621,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
achlioptas,linear,achlioptas,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9953333139419556,0.2605080008506775,0.9832271230547499,0.015,0.9839999675750732,0.9833333492279053,0.9940000176429749,501.28,1.0,214139,0,0,0.3325,64.0,,,,,,,
ternary,linear,ternary,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.2588481307029724,0.9832152947797891,0.015,0.9853333234786987,0.984666645526886,0.9953333139419556,522.73,1.0,301991,0,0,0.6676,64.0,,,,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9953333139419556,0.25843003392219543,0.981434583006688,0.014,0.9826666712760925,0.9853333234786987,0.9946666359901428,488.08,1.0,160077,0,0,0.1263,64.0,,,,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.95250004529953,0.9566666483879089,0.0014792003203183413,0.6644336060142477,0.015,0.9106666445732117,0.8113332986831665,0.09266666322946548,480.1,1.0,127040,0,0,0.0002,64.0,,,,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9575000405311584,0.9440000057220459,0.19914083182811737,0.6603194492505442,0.017,0.9146666526794434,0.8846666812896729,0.9446666836738586,512.0,1.0,389120,0,0,1.0,64.0,,,,,,,
hadamard_det,linear,hadamard_det,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9516667127609253,0.9519999623298645,0.20138266682624817,0.6619977413121946,0.016,0.909333348274231,0.887333333492279,0.9526666402816772,512.0,1.0,389120,0,0,1.0,64.0,,,,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.26165539026260376,0.9900241104750576,0.042,0.9833333492279053,0.9826666712760925,0.9940000176429749,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
orth_blend,linear,orth_blend,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.996666669845581,0.25995922088623047,0.9846581354834919,0.044,0.9873332977294922,0.984666645526886,0.9946666359901428,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.2602688670158386,0.9893835741656136,0.028,0.9860000014305115,0.984666645526886,0.9953333139419556,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
binary01,linear,binary01,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.6858333349227905,0.684666633605957,0.05666351318359375,0.27181707068409355,0.021,0.6706666350364685,0.6393333077430725,0.6953333020210266,496.0,1.0,258015,0,0,0.4999,64.0,,,,,,,
rff_b0.25,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.25}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9946666359901428,0.1477498710155487,0.6231679497592589,0.038,0.984666645526886,0.9800000190734863,0.9953333139419556,1520.0,32.0,389120,0,0,,,,,,,,,
rff_b1.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 1.0}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9959999918937683,0.09646593779325485,0.6958375287967298,0.036,0.9906666278839111,0.981333315372467,0.9959999918937683,1520.0,32.0,389120,0,0,,,,,,,,,
rff_real_b1.0,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9959999918937683,0.09646593779325485,0.6958375287967298,0.035,0.9906666278839111,0.981333315372467,0.9959999918937683,1520.0,32.0,389120,0,0,,,,,,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9959999918937683,0.14013241231441498,0.6897213786702145,0.041,0.9900000095367432,0.9819999933242798,0.996666669845581,1520.0,32.0,389120,0,0,,,,,,,,,
fpe_phasor,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.996666669845581,0.14880603551864624,0.6587565083946143,0.045,0.9853333234786987,0.9806666374206543,0.996666669845581,2000.0,32.0,516096,0,0,,,,,,,,,
