spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5450000166893005,0.5320000052452087,0.003619868541136384,0.5222828834950771,0.268,11.75,1.0,3040,0,0,1.0,32.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.596666693687439,0.5706666707992554,0.020149048417806625,0.428198267524988,0.009,11.75,1.0,3040,0,0,1.0,32.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5766666531562805,0.5753333568572998,0.020536966621875763,0.4436551878436898,0.009,4.75,1.0,1248,0,0,0.125,32.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5866667032241821,0.5859999656677246,0.029209192842245102,0.4378724343908617,0.01,4.0,1.0,1056,0,0,0.0312,28.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5191667079925537,0.5220000147819519,0.003399000968784094,0.4186302138336924,0.01,11.75,1.0,3040,0,0,1.0,26.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.6533333659172058,0.671999990940094,0.06817565113306046,0.4780661289198609,0.01,11.75,1.0,3040,0,0,1.0,32.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5024999976158142,0.5086666345596313,-0.016232408583164215,0.4359213507861363,0.016,11.75,1.0,3040,0,0,1.0,32.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.6416667103767395,0.65666663646698,0.020454810932278633,0.3428818041608768,0.036,11.88,32.0,3040,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.12916666269302368,0.13199999928474426,-0.17221224308013916,0.01158933658221481,0.034,11.75,1.0,3040,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.971666693687439,0.972000002861023,0.3557606041431427,0.5023038274496152,0.737,12.25,1.0,3168,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.6033333539962769,0.5579999685287476,0.01591148041188717,0.4451630189618669,0.013,11.75,1.0,3040,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8358333706855774,0.8506666421890259,0.1177297979593277,0.6125919045919688,0.009,23.5,1.0,6080,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8566666841506958,0.8706666827201843,0.13858242332935333,0.5555455456856903,0.008,23.5,1.0,6080,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8475000262260437,0.8546666502952576,0.12469460070133209,0.5823832423268349,0.008,9.5,1.0,2495,0,0,0.1248,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.7975000143051147,0.7986666560173035,0.03965200111269951,0.5164849592977114,0.008,7.75,1.0,2048,0,0,0.0156,40.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.7725000381469727,0.7806666493415833,0.09612196683883667,0.491804744665741,0.009,23.5,1.0,6080,0,0,1.0,41.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.9625000357627869,0.9586666822433472,0.20443396270275116,0.670643288785876,0.007,23.5,1.0,6080,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8400000333786011,0.8193333148956299,0.11060155928134918,0.5767978352633754,0.01,23.5,1.0,6080,0,0,1.0,64.0,,,,
