spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_noise_0.1,acc_noise_0.25,acc_noise_0.5,acc_noise_0.75,acc_noise_1,acc_noise_1.5,acc_drop_0.1,acc_drop_0.3,acc_drop_0.5,acc_flip_0.01,acc_flip_0.02,acc_flip_0.05,acc_flip_0.1,acc_flip_0.2,acc_flip_0.4,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9959999918937683,0.260096937417984,0.9832167550986861,0.253,0.9959999918937683,0.9940000176429749,0.9866666793823242,0.9693333506584167,0.9286666512489319,0.7886666655540466,0.9940000176429749,0.9639999866485596,0.8846666812896729,0.9959999918937683,0.9959999918937683,0.9959999918937683,0.996666669845581,0.9940000176429749,0.9620000123977661,1504.0,1.0,389120,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.26027554273605347,0.9829952981378282,0.016,0.9959999918937683,0.9946666359901428,0.9839999675750732,0.9706666469573975,0.9286666512489319,0.7986666560173035,0.9933333396911621,0.965999960899353,0.8880000114440918,0.9959999918937683,0.9946666359901428,0.9940000176429749,0.9946666359901428,0.9946666359901428,0.9559999704360962,1504.0,1.0,389120,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9953333139419556,0.25843003392219543,0.981434583006688,0.014,0.9953333139419556,0.9933333396911621,0.9826666712760925,0.965999960899353,0.9253333210945129,0.781333327293396,0.9919999837875366,0.9626666307449341,0.8833333253860474,0.9953333139419556,0.9953333139419556,0.9946666359901428,0.9946666359901428,0.9926666617393494,0.9480000138282776,609.3,1.0,160077,0,0,0.1263,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.95250004529953,0.9566666483879089,0.0014792003203183413,0.6644336060142477,0.015,0.9546666741371155,0.9486666321754456,0.9106666445732117,0.8546666502952576,0.7680000066757202,0.581333339214325,0.890666663646698,0.7080000042915344,0.46000000834465027,0.14000000059604645,0.035999998450279236,0.09266666322946548,0.03333333134651184,0.06466666609048843,0.03533333167433739,480.25,1.0,127040,0,0,0.0002,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9575000405311584,0.9440000057220459,0.19914083182811737,0.6603194492505442,0.016,0.9473333358764648,0.9359999895095825,0.9146666526794434,0.8479999899864197,0.7699999809265137,0.5886666774749756,0.9273332953453064,0.828000009059906,0.6886666417121887,0.9459999799728394,0.9453333020210266,0.9446666836738586,0.9446666836738586,0.9353333115577698,0.8659999966621399,1504.0,1.0,389120,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.26165539026260376,0.9900241104750576,0.026,0.9959999918937683,0.9946666359901428,0.9833333492279053,0.9666666388511658,0.9300000071525574,0.7986666560173035,0.9940000176429749,0.9646666646003723,0.8926666378974915,0.9953333139419556,0.9953333139419556,0.9940000176429749,0.9940000176429749,0.9959999918937683,0.9573333263397217,1504.0,1.0,389120,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.2602688670158386,0.9893835741656136,0.025,0.9953333139419556,0.9940000176429749,0.9860000014305115,0.9673333168029785,0.9306666851043701,0.8033333420753479,0.9946666359901428,0.9666666388511658,0.8913333415985107,0.9959999918937683,0.9959999918937683,0.9953333139419556,0.9953333139419556,0.9926666617393494,0.9473333358764648,1504.0,1.0,389120,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9959999918937683,0.14013239741325378,0.6897213786702145,0.044,0.996666669845581,0.9953333139419556,0.9900000095367432,0.9699999690055847,0.9326666593551636,0.777999997138977,0.9946666359901428,0.9593333005905151,0.8373333215713501,0.9953333139419556,0.9953333139419556,0.996666669845581,0.9953333139419556,0.9906666278839111,0.6980000138282776,1520.0,32.0,389120,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.98416668176651,0.9886666536331177,0.07655137777328491,0.04546359113093857,0.038,0.9873332977294922,0.9793333411216736,0.9620000123977661,0.909333348274231,0.7899999618530273,0.3113333284854889,0.9639999866485596,0.8026666641235352,0.42266666889190674,0.9806666374206543,0.9819999933242798,0.9739999771118164,0.9626666307449341,0.9046666622161865,0.31200000643730164,1504.5,1.0,389120,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.422369122505188,0.7218628986878775,0.727,0.9973333477973938,0.9953333139419556,0.9873332977294922,0.9693333506584167,0.9253333210945129,0.7713333368301392,0.9953333139419556,0.965999960899353,0.8726666569709778,0.996666669845581,0.996666669845581,0.996666669845581,0.9959999918937683,0.9973333477973938,0.9860000014305115,1504.5,1.0,389248,0,0,,,,,,
