spec,task,clean,noise_p90,drop_p90,flip_p90
cauchy_l1,fine,0.671999990940094,0.35866003844619554,0.1871894038704681,0.36965678340168306
cauchy_l1,heavy_tail,0.9966666499773661,1.315766866054652,0.5,0.4000000000000001
cauchy_l1,linear,0.9926666617393494,1.4416940280071557,0.3842834934363694,0.4000000000000001
cauchy_l1,shift,0.9926666617393494,1.4416940280071557,0.3842834934363694,0.4000000000000001
count_sketch,fine,0.4297777811686198,0.4139629942227696,0.030376455640343646,0.008859592485230713
count_sketch,heavy_tail,0.9933333396911621,0.877161705093937,0.13955043681788226,0.008778098149316413
count_sketch,linear,0.9593333204587301,0.678809148096306,0.26133742031548596,0.008880605825023365
count_sketch,shift,0.9593333204587301,0.678809148096306,0.26133742031548596,0.008880605825023365
datainformed_k16,fine,0.7204444408416748,0.34993566590273245,0.2785727229670761,0.3669106801823258
datainformed_k16,heavy_tail,0.9479999939600626,1.2760217324866652,0.4102691335027195,0.23078909705018047
datainformed_k16,linear,0.9957777659098307,1.355463285007497,0.3303881885752475,0.4000000000000001
datainformed_k16,shift,0.9957777659098307,1.355463285007497,0.3303881885752475,0.4000000000000001
fpe_b1,fine,0.5013333261013031,0.332968658430763,0.10925146164840367,0.003949974763459364
fpe_b1,heavy_tail,0.6506666739781698,0.7081585445999394,0.1626996224766888,0.11281230508054686
fpe_b1,linear,0.987333337465922,0.9460669146230815,0.18816209412854912,0.39250720176212184
fpe_b1,shift,0.987333337465922,0.9460669146230815,0.18816209412854912,0.39250720176212184
gaussian,fine,0.721999982992808,0.3490567555713569,0.27344775300269014,0.36303543382394715
gaussian,heavy_tail,0.9482222000757853,1.2875785588521593,0.41854995598588873,0.22352667327002615
gaussian,linear,0.996666669845581,1.3631581526868335,0.333107440547221,0.4000000000000001
gaussian,shift,0.996666669845581,1.3631581526868335,0.333107440547221,0.4000000000000001
gaussian_l1,fine,0.7162222067515055,0.32819903335963097,0.2739178757471668,0.36199708236108624
gaussian_l1,heavy_tail,0.9459999799728394,1.2842382659773623,0.42031746224980476,0.24248527046878374
gaussian_l1,linear,0.9962222178777059,1.3697646380722146,0.3374629902797282,0.4000000000000001
gaussian_l1,shift,0.9962222178777059,1.3697646380722146,0.3374629902797282,0.4000000000000001
learned,fine,0.733555535475413,0.3392283863699863,0.2799766411277742,0.2830071762086424
learned,heavy_tail,0.9791110952695211,1.2862207302023365,0.35778586970951526,0.4000000000000001
learned,linear,0.9968888958295187,1.393644864815135,0.3578993539161439,0.4000000000000001
learned,shift,0.9968888958295187,1.393644864815135,0.3578993539161439,0.4000000000000001
nystrom_gauss,fine,0.6115555564562479,0.3822250598549441,0.19270307355933072,0.07309163013042054
nystrom_gauss,heavy_tail,0.8453333377838135,0.786864892471315,0.20367459375085495,0.06217063249263596
nystrom_gauss,linear,0.9177777568499247,0.5686923079114931,0.18005483536751196,0.18183153394622212
nystrom_gauss,shift,0.9177777568499247,0.5686923079114931,0.18005483536751196,0.18183153394622212
orthogonal,fine,0.7206666668256124,0.33831124526746575,0.2803907525989738,0.3562017890924187
orthogonal,heavy_tail,0.9495555361111959,1.2624586043810575,0.41211957205631505,0.28642489435219476
orthogonal,linear,0.9966666499773661,1.3567196207282703,0.32494251441440763,0.4000000000000001
orthogonal,shift,0.9966666499773661,1.3567196207282703,0.32494251441440763,0.4000000000000001
rademacher,fine,0.7188888788223267,0.327636338521552,0.28352927954374607,0.36643550162294747
rademacher,heavy_tail,0.8919999798138937,1.3448812765576672,0.48819114214715215,0.28242454329457084
rademacher,linear,0.9964444438616434,1.3744563583370655,0.33439349274753977,0.4000000000000001
rademacher,shift,0.9964444438616434,1.3744563583370655,0.33439349274753977,0.4000000000000001
signrff_tuned,fine,0.7055555582046509,0.3324834124358696,0.2699383077085783,0.03150834944735543
signrff_tuned,heavy_tail,0.9306666453679403,1.317175768534706,0.44662654477794694,0.3839484205854314
signrff_tuned,linear,0.9957777659098307,0.9676853075789701,0.39179320381248467,0.33040704002774385
signrff_tuned,shift,0.9957777659098307,0.9676853075789701,0.39179320381248467,0.33040704002774385
sobol,fine,0.7153333226839701,0.32624295309992807,0.27956933212878315,0.3591751299250789
sobol,heavy_tail,0.9479999740918478,1.243967262187842,0.40887027252072744,0.22838391224838764
sobol,linear,0.996666669845581,1.3518645942720233,0.3191366759948956,0.4000000000000001
sobol,shift,0.996666669845581,1.3518645942720233,0.3191366759948956,0.4000000000000001
srht,fine,0.4220000008742015,0.37101277268120714,0.10076507997772917,0.3192686944864223
srht,heavy_tail,0.7386666536331177,0.642839884181574,0.21636706208228365,0.3103185267914791
srht,linear,0.952222208182017,0.6703567366655534,0.12757767156232938,0.4000000000000001
srht,shift,0.952222208182017,0.6703567366655534,0.12757767156232938,0.4000000000000001
very_sparse,fine,0.713777760664622,0.36377448490298064,0.2822940682364932,0.363512177993873
very_sparse,heavy_tail,0.9948888818422953,1.2637253605085654,0.5,0.4000000000000001
very_sparse,linear,0.9959999918937683,1.3711988813029539,0.3438659586213675,0.4000000000000001
very_sparse,shift,0.9959999918937683,1.3711988813029539,0.3438659586213675,0.4000000000000001
