spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_noise_0.5,acc_drop_0.2,acc_flip_0.05,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,nmi,ari,auroc
gauss_real,linear,gaussian,bipolar,none,raw,,,real,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.315,0.609333336353302,0.6159999966621399,0.7133333086967468,1504.0,32.0,393216,0,0,,,,,,,,,
gauss_int8,linear,gaussian,bipolar,none,raw,,,int8,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.051,0.609333336353302,0.6159999966621399,0.7133333086967468,1504.0,8.0,393216,0,0,,,,,,,,,
gauss_int4,linear,gaussian,bipolar,none,raw,,,int4,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.033,0.609333336353302,0.6159999966621399,0.7133333086967468,1504.0,4.0,393216,0,0,,,,,,,,,
gauss_int2,linear,gaussian,bipolar,none,raw,,,int2,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.033,0.609333336353302,0.6159999966621399,0.7133333086967468,1504.0,2.0,393216,0,0,,,,,,,,,
gauss_bipolar,linear,gaussian,bipolar,none,raw,,,bipolar,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.02,0.609333336353302,0.6159999966621399,0.7133333086967468,1504.0,1.0,393216,0,0,,,,,,,,,
gauss_binary01,linear,gaussian,bipolar,none,raw,,,binary01,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7258333563804626,0.7166666388511658,0.009162056259810925,0.9758128217792771,0.019,0.6186666488647461,0.6133333444595337,0.6259999871253967,1504.0,1.0,393216,0,0,,,,,,,,,
gauss_ternary,linear,gaussian,bipolar,none,raw,,,ternary,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.052,0.609333336353302,0.6159999966621399,0.7133333086967468,1504.0,2.0,393216,0,0,,,,,,,,,
gauss_block,linear,gaussian,bipolar,none,raw,,,block,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.6666666865348816,0.6553333401679993,0.030669011175632477,0.8838066399060435,0.037,0.543999969959259,0.5519999861717224,0.625333309173584,1504.0,0.5,393216,0,0,,,,,,,,,
gauss_thermo,linear,gaussian,bipolar,none,raw,,,thermo,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7250000238418579,0.7153333425521851,0.009253734722733498,0.9758127920085806,0.055,0.6233333349227905,0.6240000128746033,0.6786666512489319,2944.0,4.0,761856,0,0,,,,,,,,,
gauss_vq,linear,gaussian,bipolar,none,raw,,,vq,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.13083334267139435,0.12533333897590637,-0.12215335667133331,0.3014602682651248,0.057,0.1133333295583725,0.10733333230018616,0.12133333086967468,5600.0,0.0,393216,0,0,,,,,,,,,
