spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_noise_0.5,acc_drop_0.2,acc_flip_0.05,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18
raw+gauss,linear,gaussian,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9959999918937683,0.260096937417984,0.9832167550986861,0.275,0.9866666793823242,0.9833333492279053,0.9959999918937683,1504.0,1.0,389120,0,0,1.0,64.0,,,,
raw+signrff,rff,rff,bipolar,none,raw,"{""bw_select"": ""val""}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9959999918937683,0.14013239741325378,0.6897213786702145,0.047,0.9900000095367432,0.9819999933242798,0.996666669845581,1520.0,32.0,389120,0,0,,,,,,
raw+learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.422369122505188,0.7218628986878775,0.669,0.9873332977294922,0.984666645526886,0.996666669845581,1504.5,1.0,389248,0,0,,,,,,
randmlp+gauss,linear,gaussian,bipolar,none,randmlp,,,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9175000190734863,0.9246666431427002,0.08720507472753525,0.9830282989729923,0.02,0.4266666769981384,0.8880000114440918,0.918666660785675,2528.0,1.0,651264,798720,24704,1.0,128.0,,,,
randmlp+signrff,rff,rff,bipolar,none,randmlp,"{""bw_select"": ""val""}",,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9300000071525574,0.934666633605957,0.04284724220633507,0.590684077838516,0.048,0.3386666774749756,0.8833333253860474,0.9139999747276306,2544.0,32.0,651264,798720,24704,,,,,,
randmlp+learned,learned,learned,bipolar,none,randmlp,"{""epochs"": 60}",,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9766666889190674,0.9773333072662354,0.3219064176082611,0.5680035154501956,0.321,0.2759999930858612,0.8999999761581421,0.9766666293144226,2529.0,1.0,651520,798720,24704,,,,,,
ce+gauss,linear,gaussian,bipolar,none,ce,,,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9900000095367432,0.9913333058357239,0.36349964141845703,0.9945332654283985,0.234,0.9906666278839111,0.9886666536331177,0.9906666278839111,2528.0,1.0,651264,798720,24704,1.0,128.0,,,,
ce+signrff,rff,rff,bipolar,none,ce,"{""bw_select"": ""val""}",,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9908333420753479,0.9900000095367432,0.40615493059158325,0.608161837151906,0.025,0.9900000095367432,0.9900000095367432,0.9906666278839111,2544.0,32.0,651264,798720,24704,,,,,,
ce+learned,learned,learned,bipolar,none,ce,"{""epochs"": 60}",,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9933333396911621,0.9926666617393494,0.5130201578140259,0.9293629395291357,0.322,0.9933333396911621,0.9913333058357239,0.9926666617393494,2529.0,1.0,651520,798720,24704,,,,,,
supcon+gauss,linear,gaussian,bipolar,none,supcon,,,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9946666359901428,0.462139755487442,0.9917206716304806,0.419,0.9973333477973938,0.996666669845581,0.9959999918937683,2528.0,1.0,651264,798720,24704,1.0,128.0,,,,
supcon+signrff,rff,rff,bipolar,none,supcon,"{""bw_select"": ""val""}",,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.4778372645378113,0.4456853688763948,0.025,0.9973333477973938,0.9959999918937683,0.9959999918937683,2544.0,32.0,651264,798720,24704,,,,,,
supcon+learned,learned,learned,bipolar,none,supcon,"{""epochs"": 60}",,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9953333139419556,0.5803074240684509,0.9237746497411593,0.322,0.9959999918937683,0.9926666617393494,0.9953333139419556,2529.0,1.0,651520,798720,24704,,,,,,
proxy+gauss,linear,gaussian,bipolar,none,proxy,,,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9925000071525574,0.9926666617393494,0.407067209482193,0.9931681222871495,0.421,0.9913333058357239,0.9906666278839111,0.9926666617393494,2528.0,1.0,651264,798720,24704,1.0,128.0,,,,
proxy+signrff,rff,rff,bipolar,none,proxy,"{""bw_select"": ""val""}",,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9919999837875366,0.22709394991397858,0.6899625896561169,0.025,0.9926666617393494,0.9940000176429749,0.9926666617393494,2544.0,32.0,651264,798720,24704,,,,,,
proxy+learned,learned,learned,bipolar,none,proxy,"{""epochs"": 60}",,,linear,0,4096,128,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9946666359901428,0.5363194346427917,0.9430517914644371,0.321,0.9946666359901428,0.9913333058357239,0.9953333139419556,2529.0,1.0,651520,798720,24704,,,,,,
