spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_noise_0.5,acc_drop_0.2,acc_flip_0.05,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,nmi,ari,auroc
base_cos,linear,gaussian,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.259,0.609333336353302,0.6159999966621399,0.7133333086967468,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
sim_dot,linear,gaussian,bipolar,none,raw,,,,fine,0,4096,64,30,30,dot,uniform,1,32,0,0.6933333277702332,0.6759999990463257,6491.99853515625,0.9832824817403812,0.018,0.5726666450500488,0.578000009059906,0.684666633605957,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
sim_l1,linear,gaussian,bipolar,none,raw,"{""out"": ""real""}",,,fine,0,4096,64,30,30,l1,uniform,1,32,0,0.6233333349227905,0.6386666893959045,0.00040557756437920034,0.9929773445675572,0.021,0.550000011920929,0.5333333015441895,0.6313333511352539,1504.0,32.0,389120,0,0,1.0,64.0,,,,,,,
sim_rbf,linear,gaussian,bipolar,none,raw,"{""out"": ""real""}",,,fine,0,4096,64,30,30,rbf,uniform,1,32,0,0.6291666626930237,0.6453333497047424,0.020104415714740753,0.9929773445675572,0.045,0.5559999942779541,0.5373333096504211,0.6399999856948853,1504.0,32.0,389120,0,0,1.0,64.0,,,,,,,
bin_hamming,linear,gaussian,bipolar,none,raw,"{""out"": ""binary01""}",,,fine,0,4096,64,30,30,hamming,uniform,1,32,0,0.7033333778381348,0.7020000219345093,0.9269610643386841,0.9758128217792771,0.023,0.6113333106040955,0.6079999804496765,0.659333348274231,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
bin_cosine,linear,gaussian,bipolar,none,raw,"{""out"": ""binary01""}",,,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7258333563804626,0.7166666388511658,0.009162056259810925,0.9758128217792771,0.017,0.6186666488647461,0.6133333444595337,0.6259999871253967,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
weight_margin,linear,gaussian,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,margin,1,32,0,0.7150000333786011,0.7126666307449341,0.047346942126750946,0.9832824817403812,0.018,0.6026666760444641,0.609333336353302,0.7086666822433472,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
weight_conf,linear,gaussian,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,confidence,1,32,0,0.7116667032241821,0.7080000042915344,0.04774375259876251,0.9832824817403812,0.024,0.6100000143051147,0.6159999966621399,0.7059999704360962,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
multi2,linear,gaussian,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,2,32,0,0.6516667008399963,0.6520000100135803,0.03203238919377327,0.9832824817403812,0.036,0.5646666884422302,0.5479999780654907,,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
multi4,linear,gaussian,bipolar,none,raw,,,,fine,0,4096,64,30,30,cosine,uniform,4,32,0,0.6100000143051147,0.6006666421890259,0.021090451627969742,0.9832824817403812,0.06,0.5306666493415833,0.5086666345596313,,1504.0,1.0,389120,0,0,1.0,64.0,,,,,,,
