spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_noise_0.5,acc_drop_0.2,acc_flip_0.05,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9926666617393494,0.2523500323295593,0.9389883125250222,0.248,0.981333315372467,0.9746666550636292,0.9926666617393494,376.0,1.0,97280,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_select"": ""val""}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9946666359901428,0.13805919885635376,0.656032741500568,0.034,0.9819999933242798,0.9706666469573975,0.9873332977294922,380.0,32.0,97280,0,0,,,,,,
learned_e10,learned,learned,bipolar,none,raw,"{""epochs"": 10}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.996666669845581,0.3800140619277954,0.7443870944747204,0.437,0.9886666536331177,0.9826666712760925,0.996666669845581,376.5,1.0,97408,0,0,,,,,,
learned_e40,learned,learned,bipolar,none,raw,"{""epochs"": 40}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.996666669845581,0.41381484270095825,0.7179938872161373,0.171,0.9886666536331177,0.9819999933242798,0.9959999918937683,376.5,1.0,97408,0,0,,,,,,
learned_e120,learned,learned,bipolar,none,raw,"{""epochs"": 120}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9953333139419556,0.44136491417884827,0.6990334797796182,0.511,0.9873332977294922,0.9819999933242798,0.9953333139419556,376.5,1.0,97408,0,0,,,,,,
learned_init_rad,learned,learned,bipolar,none,raw,"{""epochs"": 60, ""init"": ""rademacher""}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.996666669845581,0.42423102259635925,0.7075933151403783,0.305,0.9860000014305115,0.981333315372467,0.9973333477973938,376.5,1.0,97408,0,0,,,,,,
learned_lr3e-3,learned,learned,bipolar,none,raw,"{""epochs"": 60, ""lr"": 0.003}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.4056469798088074,0.7284659913909813,0.308,0.9893333315849304,0.9853333234786987,0.996666669845581,376.5,1.0,97408,0,0,,,,,,
learned_lr3e-2,learned,learned,bipolar,none,raw,"{""epochs"": 60, ""lr"": 0.03}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.423289954662323,0.7121726118167877,0.261,0.9866666793823242,0.9853333234786987,0.996666669845581,376.5,1.0,97408,0,0,,,,,,
datainformed_k1,datainformed,datainformed,bipolar,none,raw,"{""K"": 1}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9926666617393494,0.2523500323295593,0.9389883125250222,0.007,0.981333315372467,0.9746666550636292,0.9926666617393494,376.0,1.0,97280,0,0,,,,,,
datainformed_k4,datainformed,datainformed,bipolar,none,raw,"{""K"": 4}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9919999837875366,0.25198572874069214,0.9397301443975552,0.009,0.9766666293144226,0.9806666374206543,0.9919999837875366,376.0,1.0,97280,0,0,,,,,,
