spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,bw
rff_real_b0.1,rff,rff,real,none,raw,"{""bw_scale"": 0.1}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.7166666984558105,0.7153333425521851,0.02138645388185978,0.054783473586889314,0.143,0.08533333241939545,-0.03432678058743477,0.03333333134651184,0.023333333432674408,760.0,32.0,194560,0,0,0.1
rff_bipolar_b0.1,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.1}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.7166666984558105,0.7153333425521851,0.02138645388185978,0.054783473586889314,0.031,0.08533333241939545,-0.03432678058743477,0.03333333134651184,0.023333333432674408,760.0,32.0,194560,0,0,0.1
rff_real_b0.25,rff,rff,real,none,raw,"{""bw_scale"": 0.25}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9946666359901428,0.14528405666351318,0.5697871985060237,0.029,0.8613333106040955,0.04225854575634003,0.1106666624546051,0.04466666653752327,760.0,32.0,194560,0,0,0.25
rff_bipolar_b0.25,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.25}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9946666359901428,0.14528407156467438,0.5697871985060237,0.029,0.8613333106040955,0.04225854575634003,0.1106666624546051,0.04466666653752327,760.0,32.0,194560,0,0,0.25
rff_real_b0.5,rff,rff,real,none,raw,"{""bw_scale"": 0.5}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9953333139419556,0.1401161551475525,0.6843131471994173,0.029,0.9259999990463257,0.0699366107583046,0.543999969959259,0.12533333897590637,760.0,32.0,194560,0,0,0.5
rff_bipolar_b0.5,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.5}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9953333139419556,0.1401161551475525,0.6843131471994173,0.029,0.9259999990463257,0.069936603307724,0.543999969959259,0.12533333897590637,760.0,32.0,194560,0,0,0.5
rff_real_b1.0,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.09737372398376465,0.6970112929658225,0.029,0.9319999814033508,0.060884006321430206,0.6213333010673523,0.3633333146572113,760.0,32.0,194560,0,0,1.0
rff_bipolar_b1.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 1.0}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.09737372398376465,0.6970112929658225,0.029,0.9319999814033508,0.06088400259613991,0.6213333010673523,0.3633333146572113,760.0,32.0,194560,0,0,1.0
rff_real_b2.0,rff,rff,real,none,raw,"{""bw_scale"": 2.0}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.05740687996149063,0.6980423026531085,0.029,0.9319999814033508,0.04023757204413414,0.6213333010673523,0.39800000190734863,760.0,32.0,194560,0,0,2.0
rff_bipolar_b2.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 2.0}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.057406891137361526,0.6980423026531085,0.029,0.9319999814033508,0.04023757204413414,0.6213333010673523,0.39800000190734863,760.0,32.0,194560,0,0,2.0
rff_real_b4.0,rff,rff,real,none,raw,"{""bw_scale"": 4.0}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.031146656721830368,0.6977457076603484,0.029,0.9293333292007446,0.02318001724779606,0.6206666827201843,0.4013333320617676,760.0,32.0,194560,0,0,4.0
rff_bipolar_b4.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 4.0}",,,shift,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.031146662309765816,0.6977457076603484,0.029,0.9293333292007446,0.023180020973086357,0.6206666827201843,0.4013333320617676,760.0,32.0,194560,0,0,4.0
rff_real_b0.1,rff,rff,real,none,raw,"{""bw_scale"": 0.1}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.7291666865348816,0.7146666646003723,0.023053130134940147,0.06186319559725953,0.082,0.10733333230018616,-0.031667668372392654,0.029333332553505898,0.03733333200216293,760.0,32.0,194560,0,0,0.1
rff_bipolar_b0.1,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.1}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.7291666865348816,0.7146666646003723,0.023053130134940147,0.06186319559725953,0.026,0.10733333230018616,-0.031667668372392654,0.029333332553505898,0.03733333200216293,760.0,32.0,194560,0,0,0.1
rff_real_b0.25,rff,rff,real,none,raw,"{""bw_scale"": 0.25}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9946666359901428,0.14849886298179626,0.5847072005519193,0.026,0.8513333201408386,0.040622610598802567,0.13599999248981476,0.02666666731238365,760.0,32.0,194560,0,0,0.25
rff_bipolar_b0.25,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.25}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9946666359901428,0.14849886298179626,0.5847072005519193,0.026,0.8513333201408386,0.040622610598802567,0.13599999248981476,0.02666666731238365,760.0,32.0,194560,0,0,0.25
rff_real_b0.5,rff,rff,real,none,raw,"{""bw_scale"": 0.5}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9946666359901428,0.14429756999015808,0.6989812658175756,0.026,0.9233333468437195,0.06626475602388382,0.4946666657924652,0.09066666662693024,760.0,32.0,194560,0,0,0.5
rff_bipolar_b0.5,rff,rff,bipolar,none,raw,"{""bw_scale"": 0.5}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9946666359901428,0.14429756999015808,0.6989812658175756,0.026,0.9233333468437195,0.06626475602388382,0.4946666657924652,0.09066666662693024,760.0,32.0,194560,0,0,0.5
rff_real_b1.0,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9946666359901428,0.10126141458749771,0.7118924729519436,0.026,0.9259999990463257,0.05742531269788742,0.5659999847412109,0.2239999920129776,760.0,32.0,194560,0,0,1.0
rff_bipolar_b1.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 1.0}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9946666359901428,0.10126141458749771,0.7118924729519436,0.026,0.9259999990463257,0.05742531269788742,0.5659999847412109,0.2239999920129776,760.0,32.0,194560,0,0,1.0
rff_real_b2.0,rff,rff,real,none,raw,"{""bw_scale"": 2.0}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9959999918937683,0.06039857864379883,0.7110167232419906,0.027,0.9226666688919067,0.0378991961479187,0.5833333134651184,0.24133333563804626,760.0,32.0,194560,0,0,2.0
rff_bipolar_b2.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 2.0}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9959999918937683,0.06039857864379883,0.7110167232419906,0.027,0.9226666688919067,0.0378991961479187,0.5833333134651184,0.24133333563804626,760.0,32.0,194560,0,0,2.0
rff_real_b4.0,rff,rff,real,none,raw,"{""bw_scale"": 4.0}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9959999918937683,0.03309210017323494,0.7075828506150069,0.026,0.9213333129882812,0.02188935875892639,0.5799999833106995,0.23999999463558197,760.0,32.0,194560,0,0,4.0
rff_bipolar_b4.0,rff,rff,bipolar,none,raw,"{""bw_scale"": 4.0}",,,shift,1,2048,64,30,30,cosine,uniform,1,32,0,0.9991666674613953,0.9959999918937683,0.03309210389852524,0.7075828506150069,0.026,0.9213333129882812,0.02188936248421669,0.5799999833106995,0.23999999463558197,760.0,32.0,194560,0,0,4.0
rff_real_b0.1,rff,rff,real,none,raw,"{""bw_scale"": 0.1}",,,shift,2,2048,64,30,30,cosine,uniform,1,32,0,0.7066667079925537,0.7246666550636292,0.022453634068369865,0.06526461124313661,0.074,0.09866666793823242,-0.031210901215672493,0.041333332657814026,0.029999999329447746,760.0,32.0,194560,0,0,0.1
