rp,max_offdiag_cos,mean_offdiag_cos,nnz,density,rank,mean_abs
gaussian,0.5498407483100891,0.10029062628746033,65536,1.0,64,0.0997219905257225
rademacher,0.65625,0.09923582524061203,65536,1.0,64,0.125
uniform,0.5380054712295532,0.0999351516366005,65536,1.0,64,0.10849842429161072
laplace,0.5586931109428406,0.09981687366962433,65536,1.0,64,0.08858208358287811
student_t,0.8426189422607422,0.09838812053203583,65536,1.0,64,0.07892719656229019
cauchy,0.9998029470443726,0.06996197253465652,65536,1.0,64,1.3790957927703857
achlioptas,0.5527708530426025,0.09856278449296951,21631,0.3300628662109375,64,0.07146070152521133
ternary,0.568986177444458,0.09966724365949631,43755,0.6676483154296875,64,0.10221236199140549
very_sparse,0.730296790599823,0.08529350906610489,8258,0.126007080078125,64,0.044550225138664246
count_sketch,0.0,0.0,64,0.0009765625,64,0.00390625
srht,1.0,0.015905654057860374,65536,1.0,64,0.125
hadamard_det,1.0,0.014662756584584713,65536,1.0,64,0.125
orthogonal,0.5447074174880981,0.09701910614967346,65536,1.0,64,0.09976129233837128
orth_blend,0.5244046449661255,0.09928612411022186,65536,1.0,64,0.09986107051372528
sobol,0.7700580954551697,0.09623612463474274,65536,1.0,64,0.09972704201936722
binary01,0.8023773431777954,0.4970846474170685,32706,0.499053955078125,64,0.08822108805179596
