method,D,kernel_mse
rff_real,64,0.011957332491874695
signrff,64,0.015451385639607906
fpe_phasor,64,0.004238209221512079
nystrom_gauss,64,0.20664949715137482
rff_real,128,0.00522604351863265
signrff,128,0.012905166484415531
fpe_phasor,128,0.0022885422222316265
nystrom_gauss,128,0.2778809368610382
rff_real,256,0.0027698541525751352
signrff,256,0.011613321490585804
fpe_phasor,256,0.001130365184508264
nystrom_gauss,256,0.320037841796875
rff_real,512,0.0015178759349510074
signrff,512,0.012011969462037086
fpe_phasor,512,0.0005506077432073653
nystrom_gauss,512,0.33205223083496094
rff_real,1024,0.0006668216083198786
signrff,1024,0.009794279932975769
fpe_phasor,1024,0.00026024802355095744
nystrom_gauss,1024,0.29478174448013306
rff_real,2048,0.0002850098244380206
signrff,2048,0.008977768942713737
fpe_phasor,2048,0.0001502998493378982
nystrom_gauss,2048,0.16394861042499542
rff_real,4096,0.00018990170792676508
signrff,4096,0.007819700986146927
fpe_phasor,4096,8.092612551990896e-05
nystrom_gauss,4096,0.1660771369934082
