rp,D,rho_l1_l1,rho_l2_l2,rho_l1_l2,rho_l2_l1
gaussian,512,0.8181432685209349,0.9454895613089916,0.8722453986488997,0.883462106255192
gaussian,4096,0.9200039945960029,0.9927282557386963,0.9805918612642635,0.931199883405498
cauchy,512,0.8624253452583054,0.08761619561026195,0.8196141378477658,0.1216595816123554
cauchy,4096,0.9783664623572252,0.31844943755026456,0.9148992584498056,0.3156114311262581
laplace,512,0.8401302762234653,0.9475994643417175,0.8820461900962945,0.8934206019638384
laplace,4096,0.928149781182981,0.9919700026526268,0.9794681483625365,0.93150444954311
student_t,512,0.8320631147466245,0.9075903938518108,0.8662098826375766,0.8573839083761773
student_t,4096,0.9397998972575885,0.9851212389969389,0.9783618996804312,0.9256644466826776
rademacher,512,0.8211513044133906,0.9509938938337591,0.8789761900716587,0.8942148602749294
rademacher,4096,0.9137856238803866,0.9927715072991103,0.9804963332491984,0.9318973634836158
