spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,proj,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,nmi,ari,auroc
gauss|fp32,linear,gaussian,bipolar,none,raw,,,fp32,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5616666674613953,0.5619999766349792,0.00877720583230257,0.8148260380545594,0.245,94.0,1.0,24320,0,0,1.0,64.0,gauss,,,,,,,
gauss|int4,linear,gaussian,bipolar,none,raw,,,int4,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5616666674613953,0.5619999766349792,0.00877720583230257,0.8148260380545594,0.026,94.0,4.0,24576,0,0,,,gauss,,,,,,,
gauss|ternary,linear,gaussian,bipolar,none,raw,,,ternary,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5616666674613953,0.5619999766349792,0.00877720583230257,0.8148260380545594,0.01,94.0,2.0,24576,0,0,,,gauss,,,,,,,
gauss|bipolar,linear,gaussian,bipolar,none,raw,,,bipolar,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.5616666674613953,0.5619999766349792,0.00877720583230257,0.8148260380545594,0.008,94.0,1.0,24576,0,0,,,gauss,,,,,,,
signrff|fp32,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,fp32,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.4933333396911621,0.49266666173934937,-0.010582060553133488,0.5868774272191383,0.036,95.0,32.0,24320,0,0,,,signrff,,,,,,,
signrff|int4,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,int4,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.4858333468437195,0.49000000953674316,-0.023258956149220467,0.586174520344522,0.033,95.0,4.0,24576,0,0,,,signrff,,,,,,,
signrff|ternary,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,ternary,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.44083333015441895,0.45266667008399963,-0.03096991404891014,0.5463562049196069,0.033,95.0,2.0,24576,0,0,,,signrff,,,,,,,
signrff|bipolar,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,bipolar,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.35916668176651,0.34466665983200073,-0.11046002060174942,0.49255964813821884,0.032,95.0,1.0,24576,0,0,,,signrff,,,,,,,
fpe_b1|fp32,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,fp32,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.1274999976158142,0.12333333492279053,-0.021655192598700523,0.0024403540863149518,0.032,94.03,1.0,24320,0,0,,,fpe_b1,,,,,,,
fpe_b1|int4,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,int4,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.1274999976158142,0.12333333492279053,-0.021655192598700523,0.0024403540863149518,0.032,94.03,4.0,24576,0,0,,,fpe_b1,,,,,,,
fpe_b1|ternary,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,ternary,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.1274999976158142,0.12333333492279053,-0.021655192598700523,0.0024403540863149518,0.033,94.03,2.0,24576,0,0,,,fpe_b1,,,,,,,
fpe_b1|bipolar,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,bipolar,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.1274999976158142,0.12333333492279053,-0.021655192598700523,0.0024403540863149518,0.032,94.03,1.0,24576,0,0,,,fpe_b1,,,,,,,
learned|fp32,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,fp32,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.7075000405311584,0.6980000138282776,0.07489822059869766,0.6267509245606379,0.645,94.5,1.0,24448,0,0,,,learned,,,,,,,
learned|int4,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,int4,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.7075000405311584,0.6980000138282776,0.07489822059869766,0.6267509245606379,0.259,94.5,4.0,24704,0,0,,,learned,,,,,,,
learned|ternary,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,ternary,fine,0,256,64,30,30,cosine,uniform,1,32,0,0.7075000405311584,0.6980000138282776,0.07489822059869766,0.6267509245606379,0.256,94.5,2.0,24704,0,0,,,learned,,,,,,,
